origem,destino,distancia
0,1,4.6
0,2,20.6
0,3,37.8
0,4,46.3
0,5,39.5
0,6,27.1
0,7,114.1
0,8,43.4
0,9,25.9
0,10,34.2
1,2,24.7
1,3,41.1
1,4,48.3
1,5,42.8
1,6,28.8
1,7,118.2
1,8,43.8
1,9,24.3
1,10,37.9
2,3,39.3
2,4,32.6
2,5,20.6
2,6,18.4
2,7,93.5
2,8,36.9
2,9,31.4
2,10,14.6
3,4,71.5
3,5,57.1
3,6,56.8
3,7,112.1
3,8,75.4
3,9,63.0
3,10,50.9
4,5,16.8
4,6,19.5
4,7,83.0
4,8,16.2
4,9,34.1
4,10,21.8
5,6,19.2
5,7,77.5
5,8,29.3
5,9,37.9
5,10,6.4
6,7,96.3
6,8,18.6
6,9,18.7
6,10,18.0
7,8,99.0
7,9,114.8
7,10,80.9
8,9,23.1
8,10,31.9
9,10,36.3
